model,params_M,vrmse_h1,vrmse_h10,vrmse_h30,stability_horizon
FNO,19.012,2.0311,452784128.0000,inf,0
TFNO,19.277,4.3385,3.8215,3.7504,0
U-Net,17.467,0.1710,0.7336,1.5217,14
CNextU-Net,18.575,0.1425,0.5808,1.2023,23
Poseidon,,0.7846,1.3520,2.3154,4
persistence,0.0,0.6200,1.1756,1.5792,4
mean,0.0,1.0077,1.3542,1.6992,0
