model,n_params_M,one_step_vrmse,rollout_6:12,rollout_13:30,stability_horizon
FNO,19.012,1.49651,18983716864.00000,inf,0
TFNO,19.277,1.98774,3.95795,4.18083,0
U-Net,17.467,0.26893,0.73676,1.28136,14
CNextU-Net,18.575,0.22629,0.57335,1.02302,23
persistence,,,1.20257,1.58332,4
mean,,,1.38541,1.68473,0
