model,n_params_M,one_step_vrmse,rollout_6:12,rollout_13:30,stability_horizon
FNO,19.012,11.27530,45.55711,24.03385,0
TFNO,19.277,11.33596,60.73540,35.00863,0
U-Net,17.467,0.50813,47.20943,82.97189,0
CNextU-Net,18.575,0.24467,9.63676,16.79460,0
persistence,,,0.14760,0.40809,30
mean,,,0.61987,0.84835,30
