model,params_M,vrmse_h1,vrmse_h10,vrmse_h30,stability_horizon
FNO,19.009,1.3948,78649.4219,inf,0
TFNO,19.274,23.7024,91120801415168.0000,nan,0
U-Net,17.464,0.0232,0.6660,35.2049,11
CNextU-Net,18.572,0.0392,0.3297,4.4826,18
Poseidon-FT,,0.1997,1.0933,7.5836,9
persistence,0.0,0.3115,2.6775,49.4253,3
mean,0.0,1.0074,1.7175,38.5031,0
